step,reward
17068,-23.137130737304688
27288,29.798431396484375
37797,242.6105499267578
48496,-30.385923385620117
58844,-18.92601776123047
69156,-5.819332122802734
79452,-11.214113235473633
89797,-10.752366065979004
100197,-31.133981704711914
110642,-22.621740341186523
121143,-19.619443893432617
131525,-18.396324157714844
141726,-18.46989631652832
152073,-16.106494903564453
162513,-13.156218528747559
173006,-13.767024993896484
183816,30.809967041015625
194768,-8.876860618591309
205303,1.4408531188964844
215717,-12.08015251159668
226252,25.582021713256836
237308,-3.4921908378601074
248038,59.606163024902344
258535,-13.732009887695312
269246,48.171051025390625
280128,31.98252296447754
290608,77.72731018066406
301545,39.01301574707031
312377,2.7831063270568848
323080,24.23815155029297
333594,-6.197398662567139
344155,20.095993041992188
354606,-3.8545567989349365
365655,89.58303833007812
376501,22.99628448486328
387519,11.316740989685059
398322,59.790245056152344
408962,64.54991149902344
420204,85.29830932617188
430913,92.96599578857422
441990,51.03573226928711
452659,69.89962768554688
463604,-5.080783367156982
474352,16.907978057861328
484881,18.326040267944336
495536,5.130075454711914
506677,198.9386749267578
517953,84.803955078125
529640,257.50970458984375
540959,233.53176879882812
552147,195.84242248535156
563225,334.7032470703125
574598,267.48297119140625
585419,304.8308410644531
596293,268.1052551269531
607471,290.01806640625
618598,332.1459045410156
629514,269.302734375
640397,216.48773193359375
651506,63.62315368652344
662456,280.34210205078125
673275,130.67520141601562
684227,95.27500915527344
695759,104.99605560302734
706748,86.24205780029297
717099,134.74588012695312
728152,56.36003112792969
738916,185.77391052246094
749816,236.39990234375
760788,172.9740753173828
771966,65.54722595214844
783105,118.39320373535156
793841,84.71978759765625
805034,105.89574432373047
816284,55.77861785888672
827267,57.98240280151367
838375,214.45509338378906
849355,98.76707458496094
860386,261.9736328125
871508,241.51303100585938
883022,260.6798400878906
894055,348.8613586425781
905420,337.51708984375
916893,304.3149719238281
928382,273.9166564941406
939913,182.8761749267578
951759,161.84808349609375
963176,286.58258056640625
974619,284.8348693847656
985947,325.1844482421875
997021,122.2721176147461
1008071,235.6138916015625
1019189,109.68905639648438
1030494,134.71597290039062
1041839,125.35958099365234
1053210,213.68138122558594
1064290,160.7168426513672
1075458,134.57373046875
1086416,273.15240478515625
1097689,96.54669952392578
1108720,153.45286560058594
1119632,69.51470947265625
1130916,106.00066375732422
1141908,145.3024444580078
1152626,85.72482299804688
1163693,88.0079574584961
1174706,111.35318756103516
1185886,165.9314422607422
1196921,99.66043853759766
1208016,137.65151977539062
1219476,163.23236083984375
1230533,81.31439971923828
1241830,174.2440643310547
1253263,119.009521484375
1264173,157.55142211914062
1275530,317.0420837402344
1286772,288.9656066894531
1298123,139.64950561523438
1309266,150.37879943847656
1320355,183.62306213378906
1331634,265.38134765625
1342731,98.10418701171875
1353631,79.70362854003906
1364875,268.50335693359375
1376288,299.2209167480469
1387164,327.62371826171875
1398073,140.1837158203125
1409493,140.80091857910156
1421035,98.13118743896484
1432354,156.353515625
1443772,97.46908569335938
1454620,110.14717102050781
1465780,97.05388641357422
1476558,253.28793334960938
1487787,150.8074951171875
1498971,287.7632141113281
1510203,331.1797790527344
1521404,299.4168701171875
1532934,349.26837158203125
1544387,329.78509521484375
1555741,174.7223358154297
1567130,287.3701477050781
1578117,284.81634521484375
1589876,270.9095458984375
1600910,227.95301818847656
1612145,237.77989196777344
1623670,132.6375274658203
1635220,198.9185028076172
1646413,135.83856201171875
1657624,98.61327362060547
1668656,79.93949890136719
1679844,117.80171203613281
1691156,143.73751831054688
1701561,99.5750732421875
1712491,329.71319580078125
1723875,178.5574951171875
1735296,169.27340698242188
1746335,152.139404296875
1757483,218.50775146484375
1768946,152.8102569580078
1780070,205.68603515625
1791762,135.27880859375
1803041,225.94821166992188
1814039,343.0049743652344
1825134,343.1148376464844
1836603,283.3500671386719
1847581,320.60894775390625
1858856,139.90823364257812
1870209,219.82461547851562
1881361,206.3858184814453
1892701,328.0621643066406
1903944,295.0316162109375
1914863,321.6072692871094
1925991,303.8377990722656
1937136,252.3878173828125
1948168,224.25918579101562
1959256,302.6000061035156
1970867,230.77784729003906
1982097,244.75814819335938
1993616,108.92154693603516
